FIPS,County_Name,State,Population,14-Day_Case_Load,County_Baseline_CT_Need,Total_COVID_Need,Final_Need
01001,Autauga,AL,55869,45,9,23,23
01003,Baldwin,AL,223234,56,34,27,34
01005,Barbour,AL,24686,26,4,12,12
01007,Bibb,AL,22394,4,4,3,4
01009,Blount,AL,57826,11,9,5,9
01011,Bullock,AL,10101,14,2,8,8
01013,Butler,AL,19448,162,3,72,72
01015,Calhoun,AL,113605,34,18,15,18
01017,Chambers,AL,33254,30,5,14,14
01019,Cherokee,AL,26196,10,4,6,6
01021,Chilton,AL,44428,16,7,8,8
01023,Choctaw,AL,12589,28,2,13,13
01025,Clarke,AL,23622,36,4,17,17
01027,Clay,AL,13235,8,2,4,4
01029,Cleburne,AL,14910,1,3,1,3
01031,Coffee,AL,52342,52,8,21,21
01033,Colbert,AL,55241,47,9,22,22
01035,Conecuh,AL,12067,5,2,3,3
01037,Coosa,AL,10663,3,2,2,2
01039,Covington,AL,37049,21,6,10,10
01041,Crenshaw,AL,13772,31,3,15,15
01043,Cullman,AL,83768,13,13,6,13
01045,Dale,AL,49172,20,8,10,10
01047,Dallas,AL,37196,85,6,43,43
01049,DeKalb,AL,71513,84,11,43,43
01051,Elmore,AL,81209,73,13,34,34
01053,Escambia,AL,36633,11,6,5,6
01055,Etowah,AL,102268,67,16,33,33
01057,Fayette,AL,16302,2,3,1,3
01059,Franklin,AL,31362,204,5,94,94
01061,Geneva,AL,26271,7,4,4,4
01063,Greene,AL,8111,27,2,12,12
01065,Hale,AL,14651,31,3,14,14
01067,Henry,AL,17205,8,3,4,4
01069,Houston,AL,105882,28,16,12,16
01071,Jackson,AL,51626,15,8,7,8
01073,Jefferson,AL,658573,292,99,124,124
01075,Lamar,AL,13805,3,3,2,3
01077,Lauderdale,AL,92729,65,14,29,29
01079,Lawrence,AL,32924,14,5,8,8
01081,Lee,AL,164542,61,25,25,25
01083,Limestone,AL,98915,15,15,7,15
01085,Lowndes,AL,9726,64,2,26,26
01087,Macon,AL,18068,15,3,7,7
01089,Madison,AL,372909,36,56,15,56
01091,Marengo,AL,18863,40,3,18,18
01093,Marion,AL,29709,21,5,9,9
01095,Marshall,AL,96774,266,15,130,130
01097,Mobile,AL,413210,532,62,221,221
01099,Monroe,AL,20733,3,4,2,4
01101,Montgomery,AL,226486,350,34,164,164
01103,Morgan,AL,119679,30,18,14,18
01105,Perry,AL,8923,10,2,5,5
01107,Pickens,AL,19930,22,3,11,11
01109,Pike,AL,33114,34,5,17,17
01111,Randolph,AL,22722,50,4,24,24
01113,Russell,AL,57961,27,9,13,13
01115,St. Clair,AL,89512,16,14,8,14
01117,Shelby,AL,217702,52,33,26,33
01119,Sumter,AL,12427,51,2,23,23
